                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.49,                 2.0448,                 1.5723,                0.53554,                0.70633,                0.66194,                0.46265,                0.99205,                 1.2953,                 1.1116,              0.0002759,              0.0002759,              0.0002759
                      2,                 1.2602,                 1.1874,                 1.3803,                0.70868,                0.74752,                0.79929,                0.51019,                 1.1694,                0.98491,                 1.1877,             0.00054991,             0.00054991,             0.00054991
                      3,                 1.2658,                 1.1078,                 1.4025,                 0.7167,                0.73225,                0.75301,                0.50717,                 1.0777,                0.94512,                 1.2071,             0.00082026,             0.00082026,             0.00082026
                      4,                 1.2371,                 1.0136,                  1.391,                0.76907,                0.80918,                0.85119,                0.60113,                 1.0002,                  0.816,                 1.2029,             0.00081651,             0.00081651,             0.00081651
                      5,                 1.2093,                 0.9554,                 1.3684,                0.76408,                0.80059,                0.83314,                0.59195,                0.97932,                0.88042,                 1.1692,             0.00081101,             0.00081101,             0.00081101
                      6,                 1.2051,                0.91865,                 1.3716,                0.78878,                 0.8324,                0.86345,                0.62184,                 1.0006,                0.70852,                 1.1866,             0.00080551,             0.00080551,             0.00080551
                      7,                 1.1765,                 0.8914,                 1.3582,                0.86173,                0.85982,                0.90678,                0.66307,                0.96221,                0.66513,                 1.1397,             0.00080001,             0.00080001,             0.00080001
                      8,                 1.1716,                0.86743,                 1.3542,                0.84902,                0.80881,                0.88161,                0.63462,                0.96684,                0.67445,                 1.1401,             0.00079452,             0.00079452,             0.00079452
                      9,                 1.1624,                0.85324,                 1.3476,                0.82657,                0.84305,                0.88355,                0.62013,                 1.0144,                0.72872,                 1.2021,             0.00078902,             0.00078902,             0.00078902
                     10,                 1.1506,                0.82014,                 1.3452,                0.89191,                0.88292,                 0.9313,                0.69333,                0.92376,                0.58849,                 1.1392,             0.00078352,             0.00078352,             0.00078352
                     11,                 1.1372,                 0.8157,                 1.3336,                0.88286,                0.88189,                0.92676,                0.68607,                0.94587,                0.58593,                 1.1508,             0.00077802,             0.00077802,             0.00077802
                     12,                 1.1307,                0.79234,                 1.3239,                0.85064,                0.87406,                0.92041,                0.67864,                0.94871,                 0.6542,                 1.1313,             0.00077252,             0.00077252,             0.00077252
                     13,                 1.1116,                0.77878,                  1.314,                0.88358,                0.86209,                   0.93,                0.69506,                0.91869,                0.57067,                  1.121,             0.00076703,             0.00076703,             0.00076703
                     14,                 1.1003,                0.76611,                 1.3115,                 0.8744,                0.86983,                0.91255,                0.64972,                 1.0121,                0.63118,                 1.1995,             0.00076153,             0.00076153,             0.00076153
                     15,                 1.1002,                0.75423,                  1.303,                0.88037,                0.87993,                0.91545,                0.66313,                0.97542,                0.60812,                 1.1748,             0.00075603,             0.00075603,             0.00075603
                     16,                 1.0915,                0.75587,                 1.3093,                  0.865,                0.89557,                0.92486,                0.68485,                0.95746,                 0.5783,                 1.1357,             0.00075053,             0.00075053,             0.00075053
                     17,                 1.0799,                 0.7326,                 1.2993,                0.86793,                0.86562,                0.91212,                0.67067,                0.93786,                0.59351,                 1.1508,             0.00074504,             0.00074504,             0.00074504
                     18,                  1.067,                0.71277,                 1.2857,                 0.9046,                0.91173,                0.93029,                0.70866,                0.90167,                0.53561,                 1.1079,             0.00073954,             0.00073954,             0.00073954
                     19,                 1.0708,                0.71442,                 1.2882,                0.90612,                0.90574,                0.93553,                0.71209,                0.89708,                 0.5217,                 1.0972,             0.00073404,             0.00073404,             0.00073404
                     20,                 1.0464,                0.70107,                 1.2689,                0.89677,                0.90932,                0.93252,                0.70123,                0.91697,                0.53072,                 1.1163,             0.00072854,             0.00072854,             0.00072854
                     21,                 1.0521,                0.69015,                 1.2762,                0.88665,                0.90275,                0.92713,                0.69262,                0.91259,                0.54429,                 1.1201,             0.00072304,             0.00072304,             0.00072304
                     22,                 1.0469,                0.69401,                 1.2792,                0.91517,                 0.9101,                0.94391,                0.71631,                0.92317,                0.51559,                 1.0998,             0.00071755,             0.00071755,             0.00071755
                     23,                 1.0281,                0.67598,                 1.2647,                  0.897,                0.91657,                0.93778,                0.70987,                 0.8916,                0.51503,                  1.102,             0.00071205,             0.00071205,             0.00071205
                     24,                 1.0326,                0.68354,                 1.2693,                0.91347,                 0.8933,                0.93914,                0.69374,                0.93851,                0.51754,                  1.155,             0.00070655,             0.00070655,             0.00070655
                     25,                  1.019,                0.66262,                 1.2474,                0.90376,                0.92205,                0.94606,                0.71553,                0.90184,                0.50652,                 1.1164,             0.00070105,             0.00070105,             0.00070105
                     26,                 1.0195,                0.66915,                 1.2601,                0.89445,                0.91318,                0.93598,                0.70957,                0.90291,                0.51469,                 1.1184,             0.00069556,             0.00069556,             0.00069556
                     27,                 1.0115,                0.65342,                 1.2541,                0.90257,                 0.9233,                0.94076,                0.71992,                0.89892,                0.50228,                  1.129,             0.00069006,             0.00069006,             0.00069006
                     28,                0.99977,                0.64715,                 1.2468,                0.89976,                0.91875,                 0.9476,                0.72405,                0.90136,                0.49135,                 1.1214,             0.00068456,             0.00068456,             0.00068456
                     29,                0.99937,                0.64418,                 1.2409,                 0.9105,                 0.9282,                0.94402,                 0.7094,                0.91646,                 0.5021,                 1.1404,             0.00067906,             0.00067906,             0.00067906
                     30,                0.99267,                0.63339,                 1.2406,                0.89949,                0.92709,                0.93775,                0.71437,                0.89548,                 0.4881,                 1.1253,             0.00067356,             0.00067356,             0.00067356
                     31,                0.99289,                0.63439,                 1.2439,                0.90225,                0.91166,                 0.9399,                0.71705,                0.90053,                0.49657,                 1.1293,             0.00066807,             0.00066807,             0.00066807
                     32,                0.99051,                 0.6247,                  1.233,                0.90213,                0.90281,                0.93677,                0.71434,                    0.9,                0.49552,                 1.1243,             0.00066257,             0.00066257,             0.00066257
                     33,                0.98788,                0.62603,                 1.2314,                0.89332,                0.92289,                0.93764,                0.71313,                0.89712,                0.50375,                 1.1075,             0.00065707,             0.00065707,             0.00065707
                     34,                0.97848,                0.61835,                 1.2234,                0.90491,                 0.9158,                0.94152,                0.72297,                0.89541,                0.47762,                 1.0972,             0.00065157,             0.00065157,             0.00065157
                     35,                0.96761,                0.61097,                 1.2257,                0.90038,                0.92532,                0.94689,                0.72168,                0.90066,                0.47845,                 1.1226,             0.00064607,             0.00064607,             0.00064607
                     36,                0.97613,                0.61297,                 1.2236,                0.90701,                0.91251,                0.94693,                 0.7306,                0.88789,                0.48043,                 1.1168,             0.00064058,             0.00064058,             0.00064058
                     37,                0.95891,                0.59814,                 1.2159,                0.90877,                0.90595,                0.93163,                0.70044,                0.93436,                0.52347,                 1.1473,             0.00063508,             0.00063508,             0.00063508
                     38,                0.95295,                0.60473,                 1.2145,                0.90759,                0.92369,                0.94206,                0.71533,                0.89436,                0.47804,                  1.145,             0.00062958,             0.00062958,             0.00062958
                     39,                0.95415,                0.60248,                 1.2206,                0.91725,                0.91026,                0.94971,                0.73398,                0.87373,                0.47405,                 1.1007,             0.00062408,             0.00062408,             0.00062408
                     40,                0.95025,                0.59316,                 1.2112,                0.92423,                0.91059,                0.94568,                0.73104,                0.88327,                0.47461,                 1.1097,             0.00061859,             0.00061859,             0.00061859
                     41,                0.94572,                0.58567,                  1.201,                0.92841,                0.90298,                0.94082,                0.72485,                0.88977,                0.49076,                  1.088,             0.00061309,             0.00061309,             0.00061309
                     42,                0.94589,                0.58727,                 1.2015,                0.92672,                0.90726,                0.94678,                0.73556,                0.88191,                0.46437,                 1.1052,             0.00060759,             0.00060759,             0.00060759
                     43,                0.93615,                0.58192,                 1.1966,                 0.9208,                 0.9166,                0.94139,                0.72029,                0.88889,                0.47193,                 1.1059,             0.00060209,             0.00060209,             0.00060209
                     44,                0.93901,                0.57985,                 1.1943,                0.91507,                0.90833,                0.94077,                0.71184,                0.91707,                0.47263,                  1.124,             0.00059659,             0.00059659,             0.00059659
                     45,                0.93903,                0.57542,                 1.1988,                0.91064,                0.93407,                0.94656,                0.72642,                0.88472,                0.46414,                 1.1023,              0.0005911,              0.0005911,              0.0005911
                     46,                0.93191,                0.57397,                 1.1969,                0.89414,                0.93993,                0.93938,                0.71889,                0.89597,                0.46357,                 1.1093,              0.0005856,              0.0005856,              0.0005856
                     47,                0.91932,                0.56752,                 1.1867,                0.88897,                0.93218,                0.94287,                0.72984,                0.88474,                0.46413,                 1.0976,              0.0005801,              0.0005801,              0.0005801
                     48,                0.91618,                0.56336,                 1.1846,                0.89815,                0.93378,                0.94946,                0.73331,                0.88705,                0.46086,                 1.1014,              0.0005746,              0.0005746,              0.0005746
                     49,                0.91515,                0.56295,                 1.1828,                0.91346,                0.91486,                0.93849,                0.72393,                0.89359,                0.47454,                 1.1133,             0.00056911,             0.00056911,             0.00056911
                     50,                0.90531,                0.55234,                 1.1798,                0.90821,                0.92305,                 0.9416,                0.72855,                0.89214,                0.46968,                 1.1144,             0.00056361,             0.00056361,             0.00056361
                     51,                0.91607,                0.56096,                 1.1876,                0.92199,                0.90755,                0.93973,                0.71809,                0.91115,                0.47517,                 1.1292,             0.00055811,             0.00055811,             0.00055811
                     52,                0.90469,                0.55584,                 1.1764,                0.89972,                0.91646,                0.93935,                0.72327,                 0.8935,                0.47612,                 1.0936,             0.00055261,             0.00055261,             0.00055261
                     53,                0.90467,                0.55254,                 1.1785,                0.92655,                0.90352,                0.94077,                0.71972,                0.90303,                0.47553,                 1.1241,             0.00054711,             0.00054711,             0.00054711
                     54,                0.90016,                0.54528,                  1.175,                0.91684,                0.92147,                0.94152,                 0.7267,                0.89557,                0.47547,                 1.1184,             0.00054162,             0.00054162,             0.00054162
                     55,                0.89598,                0.54265,                 1.1731,                0.90454,                  0.933,                0.94324,                0.72713,                0.91418,                0.46287,                 1.1025,             0.00053612,             0.00053612,             0.00053612
                     56,                0.88637,                0.54311,                 1.1676,                0.92794,                0.90405,                0.94155,                0.72476,                0.88926,                0.46842,                 1.1053,             0.00053062,             0.00053062,             0.00053062
                     57,                0.88613,                0.53748,                 1.1656,                0.91052,                0.90687,                 0.9429,                0.72682,                0.87926,                0.46958,                 1.1076,             0.00052512,             0.00052512,             0.00052512
                     58,                0.88744,                0.53955,                 1.1672,                0.90392,                 0.9245,                0.94214,                0.72886,                0.88531,                 0.4636,                 1.1007,             0.00051963,             0.00051963,             0.00051963
                     59,                 0.8832,                0.53472,                 1.1679,                0.91573,                0.91247,                0.94053,                0.72793,                0.88653,                0.46838,                  1.108,             0.00051413,             0.00051413,             0.00051413
                     60,                0.88109,                0.53604,                 1.1682,                0.93058,                0.91633,                0.94333,                0.73444,                0.87646,                0.46463,                 1.1029,             0.00050863,             0.00050863,             0.00050863
                     61,                0.87597,                 0.5343,                 1.1652,                0.91004,                0.92342,                0.94236,                0.72607,                0.89279,                0.47623,                 1.1249,             0.00050313,             0.00050313,             0.00050313
                     62,                0.87428,                0.52865,                 1.1599,                0.91102,                0.92712,                0.94275,                0.72694,                0.88215,                0.46949,                 1.1258,             0.00049763,             0.00049763,             0.00049763
                     63,                0.86895,                0.53141,                 1.1604,                0.90899,                0.92662,                0.94332,                0.73101,                0.88799,                0.46172,                 1.1114,             0.00049214,             0.00049214,             0.00049214
                     64,                0.86711,                0.52704,                 1.1547,                0.92622,                0.90236,                0.94115,                0.71989,                 0.8954,                0.47874,                 1.1015,             0.00048664,             0.00048664,             0.00048664
                     65,                0.87144,                0.52535,                 1.1602,                0.91427,                0.91416,                0.94011,                0.72829,                0.89131,                0.46371,                 1.1003,             0.00048114,             0.00048114,             0.00048114
                     66,                0.86039,                0.51941,                 1.1485,                0.91436,                0.91681,                0.93712,                 0.7301,                0.87903,                0.46867,                 1.1029,             0.00047564,             0.00047564,             0.00047564
                     67,                0.85632,                0.51821,                 1.1489,                 0.9084,                0.91718,                 0.9405,                0.72885,                0.88673,                0.47031,                  1.121,             0.00047015,             0.00047015,             0.00047015
                     68,                0.85757,                0.51602,                  1.152,                0.91757,                0.90824,                 0.9387,                 0.7311,                0.88765,                0.47086,                 1.1042,             0.00046465,             0.00046465,             0.00046465
                     69,                0.85046,                0.51569,                 1.1491,                0.90507,                0.92475,                0.93645,                0.72839,                0.89151,                0.47205,                 1.1303,             0.00045915,             0.00045915,             0.00045915
                     70,                0.85185,                0.51255,                 1.1474,                0.91654,                0.91199,                0.93798,                0.72485,                 0.8803,                0.46542,                 1.1122,             0.00045365,             0.00045365,             0.00045365
                     71,                0.83879,                0.50283,                 1.1382,                0.90563,                 0.9244,                0.94009,                0.73253,                0.88771,                0.47129,                 1.1051,             0.00044815,             0.00044815,             0.00044815
                     72,                0.84391,                0.51123,                 1.1363,                 0.9141,                0.92211,                0.94285,                0.73496,                0.88919,                0.45828,                 1.1018,             0.00044266,             0.00044266,             0.00044266
                     73,                0.83767,                0.49998,                 1.1317,                0.91109,                0.92338,                0.93955,                0.73184,                0.88233,                0.45448,                 1.1096,             0.00043716,             0.00043716,             0.00043716
                     74,                0.84493,                0.50791,                 1.1369,                0.91006,                0.92608,                0.94247,                0.73398,                0.88532,                0.45515,                 1.0964,             0.00043166,             0.00043166,             0.00043166
                     75,                0.83356,                0.49808,                 1.1414,                0.92283,                0.92155,                 0.9423,                0.73216,                0.88513,                0.45587,                 1.1126,             0.00042616,             0.00042616,             0.00042616
                     76,                0.83548,                0.50039,                 1.1363,                0.91744,                0.91949,                0.94209,                0.73237,                 0.8745,                0.46054,                 1.1152,             0.00042066,             0.00042066,             0.00042066
                     77,                0.82613,                0.49514,                 1.1322,                0.91582,                0.92361,                0.94084,                0.73344,                0.88149,                0.45992,                 1.1108,             0.00041517,             0.00041517,             0.00041517
                     78,                0.82486,                0.49229,                 1.1237,                0.91438,                0.93428,                0.94113,                0.73064,                0.88309,                0.45753,                 1.0952,             0.00040967,             0.00040967,             0.00040967
                     79,                0.82497,                 0.4942,                 1.1202,                0.91656,                0.92059,                 0.9411,                0.72998,                0.89622,                0.45611,                 1.1078,             0.00040417,             0.00040417,             0.00040417
                     80,                0.82412,                 0.4936,                 1.1322,                0.91545,                0.92348,                0.94356,                0.73006,                0.89202,                 0.4565,                 1.1367,             0.00039867,             0.00039867,             0.00039867
                     81,                0.82234,                0.49209,                 1.1312,                0.90828,                0.92663,                0.93682,                0.72755,                0.88986,                0.46488,                 1.1156,             0.00039318,             0.00039318,             0.00039318
                     82,                 0.8199,                0.48648,                 1.1232,                0.91489,                0.91688,                0.93816,                0.72579,                0.89046,                0.46195,                 1.0924,             0.00038768,             0.00038768,             0.00038768
                     83,                0.81339,                0.48064,                 1.1132,                0.90673,                 0.9236,                0.93863,                0.72695,                0.88312,                0.46297,                 1.1094,             0.00038218,             0.00038218,             0.00038218
                     84,                0.81246,                 0.4859,                 1.1235,                0.91789,                0.93248,                0.94407,                0.73661,                0.89647,                0.45699,                 1.1199,             0.00037668,             0.00037668,             0.00037668
                     85,                0.79841,                0.47508,                  1.113,                0.91878,                0.92021,                0.94562,                0.74076,                0.89134,                0.46692,                 1.1142,             0.00037118,             0.00037118,             0.00037118
                     86,                0.80423,                0.47712,                 1.1218,                0.91264,                0.92489,                0.94491,                 0.7336,                0.89198,                0.46208,                 1.1337,             0.00036569,             0.00036569,             0.00036569
                     87,                0.80047,                0.47478,                 1.1186,                0.91501,                0.93233,                0.94256,                0.73966,                0.88258,                0.46196,                 1.1155,             0.00036019,             0.00036019,             0.00036019
                     88,                0.79763,                 0.4781,                 1.1184,                0.89739,                0.92552,                0.93801,                0.73052,                0.89032,                0.46686,                 1.1237,             0.00035469,             0.00035469,             0.00035469
                     89,                0.78667,                0.46789,                 1.1102,                0.89152,                0.93181,                0.93937,                0.72922,                0.88897,                 0.4675,                 1.1429,             0.00034919,             0.00034919,             0.00034919
                     90,                0.79405,                0.47349,                 1.1165,                0.90841,                0.92553,                0.94412,                0.73607,                0.88239,                0.46126,                 1.1126,              0.0003437,              0.0003437,              0.0003437
                     91,                0.79151,                0.46948,                 1.1086,                0.89692,                0.93432,                0.94221,                0.72956,                0.89255,                0.46538,                 1.1124,              0.0003382,              0.0003382,              0.0003382
                     92,                0.78704,                 0.4683,                 1.1051,                0.90496,                0.92767,                0.94072,                0.72929,                0.89657,                0.46583,                 1.1063,              0.0003327,              0.0003327,              0.0003327
                     93,                0.78762,                0.46916,                 1.1025,                0.89904,                0.92666,                0.93631,                0.72774,                0.89171,                0.46912,                 1.1289,              0.0003272,              0.0003272,              0.0003272
                     94,                0.78411,                0.46799,                 1.1103,                0.92139,                0.91604,                0.94007,                0.72993,                0.88724,                0.46466,                 1.1404,              0.0003217,              0.0003217,              0.0003217
                     95,                0.78181,                0.46468,                 1.1101,                  0.904,                0.92344,                0.93649,                0.72374,                0.89423,                0.46505,                 1.1531,             0.00031621,             0.00031621,             0.00031621
                     96,                0.77998,                0.46321,                  1.103,                0.91797,                0.91138,                0.93662,                0.72596,                 0.8956,                0.46839,                 1.1434,             0.00031071,             0.00031071,             0.00031071
                     97,                0.78475,                 0.4615,                 1.1066,                0.92321,                0.90479,                0.93847,                 0.7292,                 0.8936,                0.46285,                  1.132,             0.00030521,             0.00030521,             0.00030521
                     98,                0.77367,                0.46506,                 1.1031,                0.90987,                0.92336,                0.94073,                0.73401,                0.89095,                0.46311,                 1.1316,             0.00029971,             0.00029971,             0.00029971
                     99,                0.76729,                0.45502,                 1.0944,                0.90429,                0.92383,                0.93949,                0.73143,                0.89157,                0.47244,                 1.1398,             0.00029422,             0.00029422,             0.00029422
                    100,                0.76606,                0.45405,                 1.0897,                0.90408,                0.92108,                 0.9393,                0.72932,                0.89312,                0.46102,                 1.1372,             0.00028872,             0.00028872,             0.00028872
                    101,                0.76456,                0.45124,                 1.0933,                0.91399,                0.92165,                0.93877,                0.73067,                0.89371,                0.45644,                 1.1199,             0.00028322,             0.00028322,             0.00028322
