epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6905,1.45379,1.91849,1.54124,0.61485,0.74173,0.7115,0.49248,1.06558,1.13921,1.15909,0.000275898,0.000275898,0.000275898
2,138.375,1.26973,1.17775,1.36478,0.65116,0.78104,0.75516,0.53569,1.02791,0.98401,1.20373,0.000549911,0.000549911,0.000549911
3,192.283,1.30002,1.1309,1.40438,0.69792,0.72428,0.75939,0.50277,1.16561,1.04202,1.28679,0.000820259,0.000820259,0.000820259
4,245.977,1.24934,1.05622,1.36792,0.61761,0.62952,0.6566,0.44284,1.0999,1.2492,1.24111,0.000816507,0.000816507,0.000816507
5,299.846,1.2289,1.01468,1.35546,0.7635,0.80674,0.84371,0.59918,1.03186,0.77978,1.16686,0.000811009,0.000811009,0.000811009
6,353.766,1.22443,0.97328,1.34832,0.74155,0.70177,0.76627,0.4758,1.28404,0.9366,1.37374,0.000805511,0.000805511,0.000805511
7,407.569,1.18861,0.92542,1.32826,0.75338,0.77298,0.83117,0.59694,0.99398,0.79327,1.16305,0.000800013,0.000800013,0.000800013
8,461.759,1.18116,0.90363,1.33372,0.77678,0.81328,0.85308,0.61324,1.03903,0.74919,1.1725,0.000794515,0.000794515,0.000794515
9,515.554,1.17649,0.89079,1.33199,0.81509,0.83757,0.88409,0.64286,1.00023,0.66302,1.13116,0.000789018,0.000789018,0.000789018
10,569.254,1.1659,0.86242,1.32497,0.87588,0.87938,0.91636,0.66973,0.98335,0.60805,1.1691,0.00078352,0.00078352,0.00078352
11,623.27,1.14432,0.8515,1.30972,0.87124,0.85433,0.90513,0.65371,1.02059,0.64068,1.19868,0.000778022,0.000778022,0.000778022
12,678.268,1.13119,0.82371,1.2995,0.83838,0.88371,0.90681,0.65837,0.98465,0.64758,1.16414,0.000772524,0.000772524,0.000772524
13,732.599,1.12341,0.81793,1.29398,0.82141,0.84761,0.88109,0.64357,0.98932,0.68718,1.16249,0.000767026,0.000767026,0.000767026
